2024-05-30 16:06:32,935 (INFO): Waiting for clients to connect on port 35001
2024-05-30 16:06:37,325 (DEBUG): Client ('127.0.0.1', 58315) just connected
2024-05-30 16:06:37,326 (INFO): Ask for nr. x quad operation requested ('127.0.0.1', 58315)
2024-05-30 16:06:37,326 (INFO): Ask for nr. y quad operation requested ('127.0.0.1', 58315)
2024-05-30 16:06:37,353 (INFO): Asking for walls position:('127.0.0.1', 58315)
2024-05-30 16:06:40,360 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:40,361 (INFO): Asking for starting the game:('127.0.0.1', 58315)
2024-05-30 16:06:43,585 (DEBUG): Client ('127.0.0.1', 58316) just connected
2024-05-30 16:06:43,585 (INFO): Ask for nr. x quad operation requested ('127.0.0.1', 58316)
2024-05-30 16:06:43,586 (INFO): Ask for nr. y quad operation requested ('127.0.0.1', 58316)
2024-05-30 16:06:43,615 (INFO): Asking for walls position:('127.0.0.1', 58316)
2024-05-30 16:06:45,882 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,882 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:45,883 (INFO): Asking for starting the game:('127.0.0.1', 58316)
2024-05-30 16:06:45,883 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,889 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,889 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:45,918 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,918 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:45,951 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,952 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:45,984 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:45,986 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,018 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:46,021 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,051 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:46,054 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,085 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:46,087 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,119 (INFO): Adding player ('127.0.0.1', 58316)
